name,link,severity,package,version,fixedBy
CVE-2023-23916,https://avd.aquasec.com/nvd/cve-2023-23916,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u5
CVE-2023-27535,https://avd.aquasec.com/nvd/cve-2023-27535,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u6
CVE-2023-27536,https://avd.aquasec.com/nvd/cve-2023-27536,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u6
CVE-2023-27538,https://avd.aquasec.com/nvd/cve-2023-27538,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u6
CVE-2023-28321,https://avd.aquasec.com/nvd/cve-2023-28321,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u7
CVE-2023-46218,https://avd.aquasec.com/nvd/cve-2023-46218,MEDIUM,libcurl4,7.64.0-4+deb10u2,7.64.0-4+deb10u8
CVE-2024-2398,https://avd.aquasec.com/nvd/cve-2024-2398,MEDIUM,libcurl4,7.64.0-4+deb10u2,
CVE-2022-25313,https://avd.aquasec.com/nvd/cve-2022-25313,MEDIUM,libexpat1,2.2.6-2+deb10u1,2.2.6-2+deb10u3
CVE-2021-37600,https://avd.aquasec.com/nvd/cve-2021-37600,MEDIUM,libfdisk1,2.33.1-0.1,2.33.1-0.1+deb10u1
CVE-2019-13627,https://avd.aquasec.com/nvd/cve-2019-13627,MEDIUM,libgcrypt20,1.8.4-5+deb10u1,
CVE-2021-38115,https://avd.aquasec.com/nvd/cve-2021-38115,MEDIUM,libgd3,2.2.5-5.2,2.2.5-5.2+deb10u1
CVE-2021-40812,https://avd.aquasec.com/nvd/cve-2021-40812,MEDIUM,libgd3,2.2.5-5.2,2.2.5-5.2+deb10u1
CVE-2021-4209,https://avd.aquasec.com/nvd/cve-2021-4209,MEDIUM,libgnutls30,3.6.7-4+deb10u7,3.6.7-4+deb10u9
CVE-2023-5981,https://avd.aquasec.com/nvd/cve-2023-5981,MEDIUM,libgnutls30,3.6.7-4+deb10u7,3.6.7-4+deb10u11
CVE-2021-37750,https://avd.aquasec.com/nvd/cve-2021-37750,MEDIUM,libgssapi-krb5-2,1.17-3+deb10u2,1.17-3+deb10u3
CVE-2023-36054,https://avd.aquasec.com/nvd/cve-2023-36054,MEDIUM,libgssapi-krb5-2,1.17-3+deb10u2,1.17-3+deb10u6
CVE-2020-21913,https://avd.aquasec.com/nvd/cve-2020-21913,MEDIUM,libicu63,63.1-6+deb10u1,63.1-6+deb10u2
CVE-2020-35538,https://avd.aquasec.com/nvd/cve-2020-35538,MEDIUM,libjpeg62-turbo,1:1.5.2-2+deb10u1,
CVE-2021-46822,https://avd.aquasec.com/nvd/cve-2021-46822,MEDIUM,libjpeg62-turbo,1:1.5.2-2+deb10u1,
CVE-2021-37750,https://avd.aquasec.com/nvd/cve-2021-37750,MEDIUM,libk5crypto3,1.17-3+deb10u2,1.17-3+deb10u3
CVE-2023-36054,https://avd.aquasec.com/nvd/cve-2023-36054,MEDIUM,libk5crypto3,1.17-3+deb10u2,1.17-3+deb10u6
CVE-2021-37750,https://avd.aquasec.com/nvd/cve-2021-37750,MEDIUM,libkrb5-3,1.17-3+deb10u2,1.17-3+deb10u3
CVE-2023-36054,https://avd.aquasec.com/nvd/cve-2023-36054,MEDIUM,libkrb5-3,1.17-3+deb10u2,1.17-3+deb10u6
CVE-2021-37750,https://avd.aquasec.com/nvd/cve-2021-37750,MEDIUM,libkrb5support0,1.17-3+deb10u2,1.17-3+deb10u3
CVE-2023-36054,https://avd.aquasec.com/nvd/cve-2023-36054,MEDIUM,libkrb5support0,1.17-3+deb10u2,1.17-3+deb10u6
CVE-2021-37600,https://avd.aquasec.com/nvd/cve-2021-37600,MEDIUM,libmount1,2.33.1-0.1,2.33.1-0.1+deb10u1
CVE-2020-19189,https://avd.aquasec.com/nvd/cve-2020-19189,MEDIUM,libncursesw6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u4
CVE-2023-50495,https://avd.aquasec.com/nvd/cve-2023-50495,MEDIUM,libncursesw6,6.1+20181013-2+deb10u2,
CVE-2024-28182,https://avd.aquasec.com/nvd/cve-2024-28182,MEDIUM,libnghttp2-14,1.36.0-2+deb10u1,1.36.0-2+deb10u3
CVE-2024-22365,https://avd.aquasec.com/nvd/cve-2024-22365,MEDIUM,libpam-modules,1.3.1-5,
CVE-2024-22365,https://avd.aquasec.com/nvd/cve-2024-22365,MEDIUM,libpam-modules-bin,1.3.1-5,
CVE-2024-22365,https://avd.aquasec.com/nvd/cve-2024-22365,MEDIUM,libpam-runtime,1.3.1-5,
CVE-2024-22365,https://avd.aquasec.com/nvd/cve-2024-22365,MEDIUM,libpam0g,1.3.1-5,
CVE-2020-14155,https://avd.aquasec.com/nvd/cve-2020-14155,MEDIUM,libpcre3,2:8.39-12,
CVE-2021-37600,https://avd.aquasec.com/nvd/cve-2021-37600,MEDIUM,libsmartcols1,2.33.1-0.1,2.33.1-0.1+deb10u1
CVE-2021-4160,https://avd.aquasec.com/nvd/cve-2021-4160,MEDIUM,libssl1.1,1.1.1d-0+deb10u7,1.1.1d-0+deb10u8
CVE-2022-2097,https://avd.aquasec.com/nvd/cve-2022-2097,MEDIUM,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2022-4304,https://avd.aquasec.com/nvd/cve-2022-4304,MEDIUM,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0465,https://avd.aquasec.com/nvd/cve-2023-0465,MEDIUM,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u5
